entity_type,entity_name,city,source_type,source_url,date_checked,data_collected,usage_rights_note,robots_or_terms_note,confidence,review_status
chain,7 Leaves Cafe,SoCal,official_site,https://7leavescafe.com/menu/,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,high,verified
chain,7 Leaves Cafe,SoCal,official_site,https://7leavescafe.com/,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,high,verified
chain,Sharetea,SoCal,official_site,https://www.1992sharetea.com/drinks-menu-2024,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,high,verified
chain,Sharetea,SoCal,first_party_ordering,https://www.doordash.com/business/sharetea-5207/menu/,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,high,verified
chain,Kung Fu Tea,SoCal,official_site,https://www.kungfutea.com/faq/,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,high,verified
chain,Kung Fu Tea,SoCal,first_party_ordering,https://www.doordash.com/business/kung-fu-tea-56674/menu/,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,high,verified
chain,Tastea,SoCal,official_site,https://gotastea.com/menu,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,medium,verified
chain,Tastea,SoCal,official_site,https://gotastea.com/,2026-07-01,drink names; categories; caffeine/dairy where stated; sweetness; toppings,facts extracted; original flavor summaries written; no marketing copy copied; no photos rehosted,obey robots/terms; official-first,medium,verified
Chatime,chain,https://chatime.com/drinks/,official_site,2026-07-01,high,"US menu, 55 drinks; 12 signatures recorded; sugar 0/30/50/100"
CoCo Fresh Tea & Juice,chain,https://cocobubbletea.com/menu,official_site,2026-07-01,medium,Official menu; several items use non-dairy creamer; 12 recorded
